Game Title,Platform,Genre,Publisher,Release Year,NA Sales (M),EU Sales (M),JP Sales (M),Other Sales (M),Global Sales (M),Rating
Grand Theft Auto V,Nintendo Switch,Shooter,Microsoft,2007,3.38,4.17,4.07,2.25,13.87,M
Shadow Legends: Rebirth,Nintendo Switch,RPG,Ubisoft,2009,0.34,4.01,2.35,0.9,7.6,AO
Shadow Warriors: Ascension,Nintendo Switch,RPG,Sony,2019,3.83,4.47,2.38,1.48,12.16,E
Galactic Raiders: Ascension,PS4,Action,Capcom,2010,4.99,0.43,4.14,1.53,11.09,T
Galactic Knights: Eclipse,Nintendo Switch,Action,Nintendo,2000,1.83,1.84,1.05,1.58,6.3,E10+
Dark Knights: Odyssey,Nintendo Switch,Adventure,Ubisoft,2010,1.66,2.21,4.71,2.17,10.75,AO
Iron Lords: Eclipse,Xbox One,Strategy,EA,2016,2.87,4.65,2.16,2.36,12.04,E
Galactic Knights: Odyssey,Xbox One,RPG,Microsoft,2020,1.08,2.71,2.62,0.28,6.69,T
Mystic Knights: Odyssey,PS4,Shooter,EA,2017,1.36,2.89,4.38,0.95,9.58,E10+
Mystic Knights: Eclipse,PC,RPG,Activision,2023,2.63,4.83,1.38,4.4,13.24,T
Mystic Raiders: Ascension,PC,Puzzle,EA,2014,3.7,4.12,0.3,1.57,9.69,E
Galactic Warriors: Ascension,Xbox Series X,Strategy,EA,2009,3.15,4.94,4.6,3.1,15.79,M
Iron Legends: Eclipse,Nintendo Switch,Action,Sony,2015,3.88,3.33,4.64,2.25,14.1,T
Mystic Raiders: Odyssey,Xbox One,Puzzle,Sony,2016,2.89,2.42,3.23,0.4,8.94,E10+
Iron Warriors: Rebirth,Nintendo Switch,Strategy,EA,2015,2.19,1.21,3.8,2.94,10.14,M
Mystic Warriors: Odyssey,PS4,RPG,Ubisoft,2020,2.65,4.44,2.75,1.75,11.59,M
Assassin's Creed Valhalla,Nintendo Switch,RPG,Capcom,2003,2.83,1.81,1.9,2.38,8.92,AO
Mystic Lords: Ascension,PC,Strategy,Capcom,2003,3.82,1.98,2.29,0.51,8.6,AO
Galactic Knights: Rebirth,Xbox Series X,Strategy,Nintendo,2015,4.8,2.8,4.37,2.89,14.86,E
Iron Knights: Odyssey,Xbox Series X,RPG,Activision,2013,0.57,2.22,0.44,2.98,6.21,E10+
Dark Warriors: Ascension,Nintendo Switch,Adventure,Microsoft,2005,4.49,1.33,1.87,0.48,8.17,AO
Iron Lords: Odyssey,Nintendo Switch,Shooter,EA,2009,3.46,0.46,1.54,0.36,5.82,E10+
Shadow Legends: Chronicles,Nintendo Switch,RPG,Nintendo,2017,1.27,1.4,0.45,4.56,7.68,T
Mystic Legends: Eclipse,Nintendo Switch,Action,Capcom,2008,3.74,0.64,0.52,3.74,8.64,E
Shadow Warriors: Eclipse,PS5,Sports,Nintendo,2010,1.31,0.28,4.77,0.16,6.52,E10+
Galactic Knights: Chronicles,PS5,Puzzle,Activision,2002,0.9,0.67,2.26,2.55,6.38,M
God of War,Xbox One,Sports,EA,2023,0.4,1.43,1.87,0.69,4.39,E10+
Minecraft,PS5,Adventure,Nintendo,2005,4.95,1.89,2.98,2.47,12.29,E10+
The Legend of Zelda,Xbox Series X,Puzzle,Capcom,2016,0.9,0.39,2.94,3.43,7.66,E
Mystic Lords: Odyssey,PC,Sports,Ubisoft,2006,4.64,2.89,4.73,1.62,13.88,M
Dark Legends: Eclipse,Xbox One,Sports,Ubisoft,2010,0.5,4.55,4.35,0.2,9.6,AO
Mystic Warriors: Chronicles,PS5,Puzzle,EA,2000,3.68,0.96,4.39,2.71,11.74,E
Mystic Raiders: Chronicles,Xbox One,Adventure,Activision,2002,0.25,1.38,3.36,2.13,7.12,E10+
Dark Lords: Chronicles,PC,Strategy,Activision,2004,1.53,2.48,1.0,0.12,5.13,T
Dark Warriors: Eclipse,PC,Sports,Activision,2011,2.45,0.6,1.66,2.5,7.21,M
Dark Knights: Chronicles,PC,Shooter,Sony,2001,2.35,2.37,4.56,4.4,13.68,T
Dark Warriors: Rebirth,PC,Sports,Activision,2009,2.77,3.88,2.16,3.11,11.92,E
Iron Raiders: Odyssey,PS5,Sports,EA,2008,3.38,1.34,1.2,4.57,10.49,M
Dark Raiders: Eclipse,PC,Adventure,Ubisoft,2021,4.93,1.42,3.34,1.48,11.17,E
Shadow Raiders: Odyssey,Xbox Series X,Sports,EA,2004,1.3,1.44,4.9,3.91,11.55,T
Dark Knights: Ascension,Xbox One,RPG,Nintendo,2012,3.18,4.55,0.19,0.64,8.56,E
Dark Lords: Eclipse,PS4,RPG,Nintendo,2007,1.13,2.4,4.84,0.59,8.96,AO
Super Mario Odyssey,Nintendo Switch,Puzzle,Activision,2005,3.67,1.76,0.9,1.18,7.51,E
Shadow Warriors: Chronicles,Nintendo Switch,Adventure,Sony,2003,0.12,3.86,4.91,3.84,12.73,AO
Galactic Legends: Ascension,PS5,Strategy,Nintendo,2020,0.23,1.78,2.03,0.3,4.34,T
Mystic Knights: Ascension,PS4,Strategy,Activision,2002,2.37,3.62,0.25,1.62,7.86,E10+
Among Us,Xbox One,Action,Capcom,2013,4.71,2.57,4.02,2.36,13.66,M
Horizon Forbidden West,Nintendo Switch,Puzzle,Nintendo,2010,1.61,1.41,2.17,1.71,6.9,AO
Shadow Raiders: Ascension,Nintendo Switch,Adventure,Activision,2011,1.66,2.25,3.49,0.63,8.03,E10+
Mystic Raiders: Rebirth,Xbox Series X,RPG,Capcom,2015,1.61,2.29,3.98,1.1,8.98,E
The Sims,PC,Sports,Activision,2021,1.68,4.32,0.96,2.89,9.85,AO
Dark Lords: Odyssey,PC,RPG,Nintendo,2012,2.21,3.32,2.25,2.14,9.92,T
Galactic Legends: Rebirth,PC,Adventure,Microsoft,2002,3.9,3.35,4.02,2.5,13.77,T
Galactic Raiders: Eclipse,PS5,Shooter,EA,2013,1.47,0.3,4.45,2.15,8.37,E10+
Mystic Lords: Eclipse,Xbox One,Puzzle,Activision,2009,4.78,4.69,3.51,4.11,17.09,E10+
Splatoon 3,PS5,Action,EA,2020,4.12,0.42,3.59,1.67,9.8,T
Shadow Lords: Rebirth,Nintendo Switch,Puzzle,Capcom,2016,3.94,4.82,0.36,4.59,13.71,M
Shadow Raiders: Rebirth,Xbox One,Shooter,Sony,2023,4.38,2.05,4.16,4.41,15.0,M
Mystic Warriors: Eclipse,Xbox One,Shooter,Ubisoft,2000,2.64,2.66,1.31,2.73,9.34,AO
Shadow Lords: Chronicles,Nintendo Switch,Puzzle,Ubisoft,2001,1.75,0.99,4.51,2.45,9.7,T
Iron Lords: Rebirth,Nintendo Switch,Action,Ubisoft,2019,2.81,4.55,4.86,2.05,14.27,E
Galactic Warriors: Chronicles,Xbox One,Puzzle,EA,2007,2.68,0.24,1.06,3.65,7.63,AO
Iron Legends: Chronicles,PS5,Action,Activision,2018,3.99,4.08,0.65,3.65,12.37,E10+
Shadow Warriors: Odyssey,Xbox Series X,Sports,Capcom,2012,1.05,2.07,4.27,4.11,11.5,T
Shadow Warriors: Rebirth,PS4,Action,Activision,2020,0.93,4.88,3.4,0.23,9.44,E10+
Mystic Knights: Rebirth,PS4,Puzzle,Nintendo,2022,2.76,2.3,3.28,3.64,11.98,E10+
Shadow Legends: Ascension,Nintendo Switch,Shooter,Sony,2007,0.8,2.26,3.01,1.6,7.67,M
Shadow Knights: Ascension,Xbox Series X,Action,Microsoft,2000,2.71,1.18,3.56,1.56,9.01,AO
Shadow Lords: Ascension,PC,Adventure,Activision,2009,1.36,3.77,2.78,3.56,11.47,T
Halo Infinite,PC,Sports,Capcom,2010,1.17,3.15,4.92,4.43,13.67,E10+
Iron Raiders: Rebirth,Nintendo Switch,Adventure,Microsoft,2019,1.54,3.23,2.96,3.54,11.27,M
Mystic Legends: Chronicles,PS5,Adventure,Ubisoft,2001,2.1,4.58,1.7,2.82,11.2,T
Cyberpunk 2077,PC,RPG,Microsoft,2021,2.77,3.85,1.71,0.38,8.71,T
Iron Lords: Chronicles,PC,Puzzle,Capcom,2013,3.02,2.3,0.81,0.66,6.79,M
Iron Warriors: Eclipse,PS5,Adventure,EA,2015,1.31,4.31,1.69,3.8,11.11,T
Dark Raiders: Chronicles,Xbox Series X,RPG,Nintendo,2003,0.96,3.88,3.37,4.94,13.15,M
Shadow Knights: Rebirth,Xbox One,Puzzle,EA,2018,0.51,3.94,1.69,2.95,9.09,E
Iron Warriors: Ascension,Xbox One,Shooter,Sony,2012,0.38,2.93,4.37,1.33,9.01,AO
Iron Raiders: Eclipse,Nintendo Switch,Strategy,Sony,2009,4.47,4.35,3.05,2.91,14.78,M
Dark Raiders: Odyssey,PS4,Action,Activision,2000,2.68,4.07,2.81,4.54,14.1,E10+
Galactic Raiders: Odyssey,Nintendo Switch,Sports,Microsoft,2004,1.1,2.84,1.34,4.54,9.82,E
Dark Warriors: Chronicles,Nintendo Switch,Puzzle,Activision,2008,2.72,0.31,0.25,3.37,6.65,M
Iron Knights: Ascension,Xbox Series X,Action,Ubisoft,2008,1.54,1.68,4.19,0.14,7.55,T
Dark Knights: Rebirth,Xbox One,RPG,Sony,2001,4.78,0.49,0.73,4.16,10.16,M
Animal Crossing,Nintendo Switch,Puzzle,Sony,2010,2.25,3.82,1.3,1.61,8.98,E
Dark Warriors: Odyssey,Xbox One,RPG,Ubisoft,2021,0.82,2.94,1.44,0.51,5.71,M
Dark Knights: Eclipse,PS5,Strategy,Ubisoft,2018,4.79,2.02,3.32,3.98,14.11,M
Iron Warriors: Chronicles,PS4,Strategy,Ubisoft,2004,1.96,4.8,4.09,4.61,15.46,M
Galactic Lords: Odyssey,PC,Strategy,EA,2003,0.82,1.9,3.8,2.28,8.8,T
Iron Lords: Ascension,PS5,Puzzle,Microsoft,2003,1.82,3.44,3.45,4.54,13.25,M
Red Dead Redemption 2,PS4,Sports,Capcom,2000,3.76,1.35,0.72,3.69,9.52,T
Mystic Raiders: Eclipse,PS5,Action,Nintendo,2008,2.78,3.38,0.38,2.57,9.11,E10+
Dark Legends: Chronicles,Nintendo Switch,RPG,Microsoft,2000,4.53,1.55,2.42,3.59,12.09,E
Galactic Warriors: Eclipse,Xbox One,Sports,EA,2005,3.99,0.33,0.31,2.72,7.35,M
Mystic Warriors: Rebirth,Xbox Series X,Shooter,Nintendo,2013,3.29,0.89,0.59,2.23,7.0,T
Galactic Legends: Odyssey,Xbox One,Adventure,Microsoft,2004,3.86,3.04,2.48,4.6,13.98,M
Shadow Knights: Chronicles,PS4,Adventure,Ubisoft,2020,3.07,3.36,4.55,4.84,15.82,AO
Galactic Raiders: Rebirth,Xbox One,Sports,Nintendo,2017,1.17,3.71,3.67,0.15,8.7,M
Iron Warriors: Odyssey,PC,Shooter,Activision,2010,4.82,2.13,4.27,1.96,13.18,AO
Iron Legends: Odyssey,Nintendo Switch,Adventure,Nintendo,2000,0.91,0.88,3.71,3.01,8.51,E10+
Galactic Raiders: Chronicles,PS4,Sports,Ubisoft,2008,2.95,2.54,0.58,0.49,6.56,M
Galactic Lords: Rebirth,Xbox One,Adventure,Nintendo,2019,3.99,2.54,1.69,1.02,9.24,AO
Dark Legends: Odyssey,PS5,Shooter,Sony,2017,3.36,0.3,4.88,4.42,12.96,E
Mystic Legends: Ascension,Xbox One,Adventure,Sony,2019,4.1,0.64,4.37,3.83,12.94,M
Overwatch,PS5,Adventure,EA,2012,0.94,0.45,2.56,2.12,6.07,T
Mystic Warriors: Ascension,Nintendo Switch,Strategy,Microsoft,2023,1.18,4.87,0.6,3.18,9.83,E10+
Shadow Lords: Eclipse,PC,Sports,EA,2012,0.37,2.43,2.34,3.31,8.45,E
